checked_at_utc,Town,Field,Original URL,OK,Status,Final URL,Soft404,Elapsed ms,Error
2026-01-20T16:24:11.719710+00:00,East Hampton,Employment Page URL,https://www.easthamptonct.gov/human-resources/pages/job-openings,False,404,https://www.easthamptonct.gov/human-resources/pages/job-openings,False,6364,
2026-01-20T16:24:11.719710+00:00,East Lyme,Employment Page URL,https://eltownhall.com/government/departments/human-resources/,False,,,False,6492,"HTTPSConnectionPool(host='eltownhall.com', port=443): Max retries exceeded with url: /government/departments/human-resources/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))"
2026-01-20T16:24:11.719710+00:00,East Haven,Employment Page URL,https://www.easthaven-ct.gov/civil-service/pages/job-notices-and-tests,False,404,https://www.easthaven-ct.gov/civil-service/pages/job-notices-and-tests,False,6774,
2026-01-20T16:24:11.719710+00:00,East Windsor,Employment Page URL,https://www.eastwindsor-ct.gov/employment-opportunities,False,403,https://www.eastwindsor-ct.gov/employment-opportunities,False,5632,
2026-01-20T16:24:11.719710+00:00,East Lyme,Application Form URL,https://eltownhall.com/wp-content/uploads/2025/05/Town-of-East-Lyme-Employment-Application.pdf,False,,,False,6149,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-01-20T16:24:11.719710+00:00,East Haven,Application Form URL,https://www.easthaven-ct.gov/civil-service-commission/files/standard-app,False,404,https://www.easthaven-ct.gov/civil-service-commission/files/standard-app,False,6948,
2026-01-20T16:24:11.719710+00:00,East Windsor,Application Form URL,https://www.eastwindsor-ct.gov/employment-opportunities/files/town-east-windsor-employment-application,False,403,https://www.eastwindsor-ct.gov/employment-opportunities/files/town-east-windsor-employment-application,False,5892,
2026-01-20T16:24:11.719710+00:00,Easton,Employment Page URL,https://www.eastonct.gov/home/pages/job-postings-all-job-postings-for-the-town-of-easton,False,403,https://www.eastonct.gov/home/pages/job-postings-all-job-postings-for-the-town-of-easton,False,6441,
2026-01-20T16:24:11.719710+00:00,Farmington,Employment Page URL,https://www.farmington-ct.org/about-farmington/employment,False,403,https://www.farmington-ct.org/about-farmington/employment,False,6216,
2026-01-20T16:24:11.719710+00:00,Essex,Employment Page URL,https://www.essexct.gov/home/pages/employment-opportunities,False,404,https://www.essexct.gov/home/pages/employment-opportunities,False,6740,
2026-01-20T16:24:11.719710+00:00,Essex,Application Form URL,https://www.essexct.gov/sites/g/files/vyhlif3116/f/pages/application_for_employment_-_fillable_2.pdf,False,404,https://www.essexct.gov/sites/g/files/vyhlif3116/f/pages/application_for_employment_-_fillable_2.pdf,False,6828,
2026-01-20T16:24:11.719710+00:00,Goshen,Employment Page URL,https://www.goshenct.gov/job-opportunities,False,403,https://www.goshenct.gov/job-opportunities,False,5487,
2026-01-20T16:24:11.719710+00:00,Brooklyn,Application Form URL,https://brooklynct.seamlessdocs.com/f/ooqk8nzgsrv5,False,,,False,27103,"HTTPSConnectionPool(host='brooklynct.seamlessdocs.com', port=443): Read timed out. (read timeout=20)"
2026-01-20T16:24:11.719710+00:00,Brookfield,Application Form URL,https://brookfieldct.seamlessdocs.com/f/empapp,False,,,False,27416,"HTTPSConnectionPool(host='brookfieldct.seamlessdocs.com', port=443): Read timed out. (read timeout=20)"
2026-01-20T16:24:11.719710+00:00,Kent,Employment Page URL,https://www.townofkentct.gov/home/pages/employment-opportunities,False,403,https://www.townofkentct.gov/home/pages/employment-opportunities,False,6678,
2026-01-20T16:24:11.719710+00:00,Lebanon,Employment Page URL,https://www.lebanonct.gov/home/pages/employment-opportunities,False,403,https://www.lebanonct.gov/home/pages/employment-opportunities,False,7511,
2026-01-20T16:24:11.719710+00:00,Middlebury,Employment Page URL,https://www.middlebury-ct.org/employment,False,403,https://www.middlebury-ct.org/employment,False,6967,
2026-01-20T16:24:11.719710+00:00,Newtown,Employment Page URL,https://www.newtown-ct.gov/human-resources/pages/employment-openings,False,403,https://www.newtown-ct.gov/human-resources/pages/employment-openings,False,6313,
2026-01-20T16:24:11.719710+00:00,Newtown,Application Form URL,https://www.newtown-ct.gov/human-resources/files/employment-application-0,False,403,https://www.newtown-ct.gov/human-resources/files/employment-application-0,False,7322,
2026-01-20T16:24:11.719710+00:00,New Milford,Application Form URL,https://www.newmilford.org/filestorage/3088/3126/Employment_Application_fillable_2021_%282%29.pdf,False,404,https://www.newmilford.org/filestorage/3088/3126/Employment_Application_fillable_2021_%282%29.pdf,False,6486,
2026-01-20T16:24:11.719710+00:00,North Stonington,Employment Page URL,https://www.northstoningtonct.gov/home/pages/job-openings,False,403,https://www.northstoningtonct.gov/home/pages/job-openings,False,6667,
2026-01-20T16:24:11.719710+00:00,Old Saybrook,Application Form URL,https://www.oldsaybrookct.gov/selectmans-office/files/employmentapplicationv2024-05-30writablepdf,False,403,https://www.oldsaybrookct.gov/selectmans-office/files/employmentapplicationv2024-05-30writablepdf,False,6212,
